block,code,msg_type,sender,pool_id,denom_in,amount_in,denom_out,amount_out
4707360,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1nx3chh7ju3l28w8nsu2wpf3hhqfkg7lkqnhzn9,643,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,1067281,gamm/pool/643,1545788526954958
4707362,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1d6nu6ysmzq0826k5zpd4jr0qutt6yz2yk94j7e,674,uosmo,1345861,gamm/pool/674,239169272622891193
4707364,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1m8fseyyr53jukpmpp4d9h9nva5mhqtg7dnnn67,577,ibc/B547DC9B897E7C3AA5B824696110B8E3D2C31E3ED3F02FF363DCBAD82457E07E,22273,gamm/pool/577,3868352311512
4707369,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1lj72jml6hw635cek9hep62u3hvfwng9e2e3r09,605,uosmo,968283,gamm/pool/605,2146576990692863335618
4707371,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo12slw9q65ce2q9dda70r8wejqlv882d38c3y0uf,722,uosmo,10000,gamm/pool/722,25248022892093209
4707378,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1lj72jml6hw635cek9hep62u3hvfwng9e2e3r09,613,ibc/E7B35499CFBEB0FF5778127ABA4FB2C4B79A6B8D3D831D4379C4048C238796BD,13860551,gamm/pool/613,227123345625113290
4707383,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1wnc5emxmftn2kzrjpftu8eyraffc5cwftgp65n,678,uosmo,1000000,gamm/pool/678,110744985389238869
4707383,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1me3hg2l74zn5ag9y879u7re4cp4dxea9h5d45s,719,ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,16083,gamm/pool/719,251872603594750985
4707388,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1me3hg2l74zn5ag9y879u7re4cp4dxea9h5d45s,719,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,20000000,gamm/pool/719,233438963106028284236
4707393,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1nl09n46sfnk0z8jk33mvu9u6lz5ymqj4hmj84x,712,uosmo,115432219,gamm/pool/712,7807705317393545766
4707398,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1nx3chh7ju3l28w8nsu2wpf3hhqfkg7lkqnhzn9,722,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,20747502460045390,gamm/pool/722,97636512923260313
4707406,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1nx3chh7ju3l28w8nsu2wpf3hhqfkg7lkqnhzn9,601,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,520,gamm/pool/601,3487720261058
4707411,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1gwjtn7xggta9k4s6e8allyds0s3syex3ejdaaj,690,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,100,gamm/pool/690,29345932824028
