block,sender,msg_type,pool_id,denom_1,original_amount_1,adjusted_amount_1,denom_2,original_amount_2,adjusted_amount_2,relative_extra_percent
4707388,osmo1wnc5emxmftn2kzrjpftu8eyraffc5cwftgp65n,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,503676,1,uosmo,451045,1,4.867991094613502e-12
4707470,osmo17d6eypvgf9p8cqfvfdpm5wldjlglvhz89ext68,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2603382,2,uosmo,20270237,9,4.2486818998286084e-07
4707505,osmo1w69hvwaqn23kmyx4vw7lgwgwu0ssyh7wu2hu5y,/osmosis.gamm.v1beta1.MsgExitPool,704,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,52802284284706528,2714749355743,uosmo,84183912,4329,5.1413483195245064e-05
4707518,osmo1w69hvwaqn23kmyx4vw7lgwgwu0ssyh7wu2hu5y,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,154830882,1049,uosmo,138721118,940,6.769098821845404e-06
4707532,osmo1ptektdahwjdlh5s58u0p2yxn22jjfqcjc4e4yr,/osmosis.gamm.v1beta1.MsgExitPool,712,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,275049,202,uosmo,73822124,54066,0.0007323687158720233
4707558,osmo1sx2qexffa63d6hda8zt6zfx7gm0hvdkfwq83fe,/osmosis.gamm.v1beta1.MsgExitPool,690,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,84094718,119,uosmo,6348595,9,1.4074840198583288e-06
4707583,osmo1usckzz6h4fkcknv4nkr2apqs4c4fwzc58gjek8,/osmosis.gamm.v1beta1.MsgExitPool,704,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,1438162872534006355,74572368798836,uosmo,2292831154,118890,5.185251978271471e-05
4707646,osmo1wu2rp75wqnh82wu3peh9ftqv36e030vj8lfq9d,/osmosis.gamm.v1beta1.MsgExitPool,9,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,948356636,27492,uosmo,1477446,43,2.898806561913558e-05
4707671,osmo18vln3u6et46gekr8wr2j9lexnhu52xce3qa05k,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,6614254,4,uosmo,51637998,24,4.5661352366907273e-07
4707676,osmo1vvc7xddzjquz8cpmj8gfdudx9z5eqnn5pnq6s6,/osmosis.gamm.v1beta1.MsgExitPool,497,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,7926179,6,uosmo,25041192,19,7.446510631629576e-07
4707707,osmo1n96h5da774swdtq3mxs60psfvc9vsuna7zxq7h,/osmosis.gamm.v1beta1.MsgExitPool,690,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,264246933,372,uosmo,19947801,29,1.4074840198583288e-06
4707762,osmo1cxzatzvlssxw26q3dpav6efe3rlg6r8zcjlwee,/osmosis.gamm.v1beta1.MsgExitPool,604,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,510188455,3803,uosmo,14316125,107,7.4532712015383075e-06
4707780,osmo16a8ll0ur70j4qx3av8jeg3gc45eazqppjczr7d,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,337693706,3912,uosmo,300993031,3487,1.1582486881222202e-05
4707781,osmo16euxkvyt8fqcjtfnpe7rqw8730v5p2t64nsp0t,/osmosis.gamm.v1beta1.MsgExitPool,498,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5380034,4,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,13340497,10,7.360783039751973e-07
4707796,osmo1t2e08me8mw502cgsxfrgk8hp48saqheaw3g9jq,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,128645638,1497,uosmo,114682393,1335,1.163565478403289e-05
4707797,osmo1nygfrjwr5a0vzgdpsnsexkjprcd49vs8md86ck,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,81954906,954,uosmo,73059490,851,1.163565478403289e-05
4707802,osmo1z4v55tku262akr660zv0s7e6f4hghya5c2rcla,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,534863088,1060,uosmo,4175079643,8272,1.9812584716831526e-06
4707855,osmo135xvlsvganznl8hsjnh4vxflqdzyc4zhx6hhg8,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,345225817,4470,uosmo,307951708,3987,1.2945240224207738e-05
4707868,osmo1npuc2enzqhakc45wkref9qa82ha5t5083ewcfv,/osmosis.gamm.v1beta1.MsgExitPool,674,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,7046821827117718069,41549759376772,uosmo,6292821,38,5.8962409432403485e-06
4707872,osmo1npuc2enzqhakc45wkref9qa82ha5t5083ewcfv,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,331860950,7673,uosmo,296039446,6845,2.311886906495455e-05
4707885,osmo1cc56ryg7v58hvw0etrhhl9ufmksg5jl9t60mjc,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1919430,7,uosmo,14986328,54,3.5551052044128014e-06
4707890,osmo1s94x2ppjlchahtrsl24eas2emq0u7zcc8wr7lr,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,906181,4,uosmo,7074126,26,3.5551052044128014e-06
4707899,osmo1cc56ryg7v58hvw0etrhhl9ufmksg5jl9t60mjc,/osmosis.gamm.v1beta1.MsgExitPool,497,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,4657687,21,uosmo,14741095,64,4.336333633870063e-06
4707902,osmo12u8tq4za4vpk9htygj99ykk5pjrwp8g7a9g30p,/osmosis.gamm.v1beta1.MsgExitPool,498,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,170823218,126,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,422248268,311,7.360783039751973e-07
4707925,osmo1v8ujerydzj6z0ga7zqf53eh9849l6pq8uu72vr,/osmosis.gamm.v1beta1.MsgExitPool,497,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,1514911,7,uosmo,4794506,21,4.336333633870063e-06
4707937,osmo1lk870e3usuz7pcwl02szqqd0rzjyf285m6n054,/osmosis.gamm.v1beta1.MsgExitPool,15,ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,15237735,404,uosmo,18214205,483,2.6497463623728046e-05
4707947,osmo1lk870e3usuz7pcwl02szqqd0rzjyf285m6n054,/osmosis.gamm.v1beta1.MsgExitPool,498,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,57400708,43,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,142141258,105,7.360783039751973e-07
4707950,osmo1lk870e3usuz7pcwl02szqqd0rzjyf285m6n054,/osmosis.gamm.v1beta1.MsgExitPool,497,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,268738147,1166,uosmo,850535619,3689,4.336333633870063e-06
4707953,osmo15cza2urz6zpr6tg7zkvt82rv2q0v0cw435jgcx,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,1116639092,41614,uosmo,995171835,37087,3.7266378558521477e-05
4708003,osmo1qt96seyh5f2lyywrpnwpvjz7c8gplzmtqvj2ht,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,104481769,3898,uosmo,93087093,3473,3.730668944500072e-05
4708007,osmo1lk870e3usuz7pcwl02szqqd0rzjyf285m6n054,/osmosis.gamm.v1beta1.MsgExitPool,604,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,3078196651,56775,uosmo,86415711,1594,1.8444208419172598e-05
4708008,osmo1d00m4h4q8pfvd9rdp5w34ndwt8flfgzzlemx0m,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,134172492,508,uosmo,1048233536,3967,3.7843365440455093e-06
4708012,osmo1lk870e3usuz7pcwl02szqqd0rzjyf285m6n054,/osmosis.gamm.v1beta1.MsgExitPool,604,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,3078130522,56774,uosmo,86417573,1594,1.8444208419172598e-05
4708017,osmo18v85clkgwzvuugp03xf4e4etl5qqqtc7mxzv56,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,12075444,46,uosmo,94334257,357,3.7843365440455093e-06
4708033,osmo1swhkyme264u7r5k7vuy78femtes55dkpqw5z73,/osmosis.gamm.v1beta1.MsgExitPool,722,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,27369931253534035886,20907275322997200,uosmo,52511929,40113,0.0007638775241825874
4708040,osmo1nvn4sfc3r2d69c7v0j9v7ak87xepz9q59a6ug0,/osmosis.gamm.v1beta1.MsgExitPool,690,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,2602531,97,uosmo,196273,8,3.6890410668255066e-05
4708041,osmo19umgavrn0fj2e4yts3t6s9rp3jzlsptlpwmyqz,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,880598,4,uosmo,6883106,27,3.829615332758575e-06
4708042,osmo1u8hhzsg9zsn73w66gu4lx547fa9yf67z64jpnq,/osmosis.gamm.v1beta1.MsgExitPool,674,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,3874170995598623721996,127083513041785088,uosmo,3449937747,113168,3.280276301334205e-05
