block,sender,pool_id,msg_type,original_shares,share_adjustment,new_total_shares,was_exit_clean,sender_original_amount_1,sender_original_amount_2,pool_denom_1,pool_original_amount_1,pool_adjustment_amount_1,pool_denom_2,pool_original_amount_2,pool_adjustment_amount_2,adjustment_ratio
4707398,osmo1z98eg2ztdp2glyla62629nrlvczg8s7f8sgpm5,597,/osmosis.gamm.v1beta1.MsgExitPool,450376119303281667685299,47975961997691797504,450328143341283975887795,0,759419417,14979075,ibc/FE2CD1E6828EC0FAB8AF39BAC45BC25B965BA67CCBC50C13A14BD610B0D1E2C4,4759577096419,252968700,uosmo,93879695428,4989651,1.499493219555365
4708854,osmo1d8etkcl43lp9nhdsflmm9y3krl7dutwj2493rh,497,/osmosis.gamm.v1beta1.MsgExitPool,1401970067810732385198469,1513194961924783104,1401968554615770460415365,0,2167126,6863020,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,1339317236546,721651,uosmo,4241221009400,2285377,1.4992475201324087
4709007,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,/osmosis.gamm.v1beta1.MsgExitPool,592349594070667158070554,96734483776789987328,592252859586890368083226,0,3987524,1069998602,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16327090867,1327925,uosmo,4381167765796,356330794,1.4992950350061718
4709033,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,/osmosis.gamm.v1beta1.MsgExitPool,592182261648504928367585,145245085416830500864,592037016563088097866721,0,5978428,1608537941,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16306653989,1990936,uosmo,4387457354570,535675094,1.4992950350061718
4709054,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,/osmosis.gamm.v1beta1.MsgExitPool,591926402515805668886704,217790517955985080320,591708611997849683806384,0,8961451,2411861925,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16306251270,2984342,uosmo,4388663745552,803197941,1.4992950350061718
4709079,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,/osmosis.gamm.v1beta1.MsgExitPool,591544242223079669831043,163281211957565915136,591380961011122103915907,0,6716703,1807720486,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16309220175,2236796,uosmo,4389472852493,602006839,1.4992950350061718
4709083,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,/osmosis.gamm.v1beta1.MsgExitPool,591380961011122103915907,163281211957565915136,591217679799164538000771,0,6716751,1807707699,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16311572767,2236812,uosmo,4390043756774,602002580,1.4992950350061718
4709100,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,/osmosis.gamm.v1beta1.MsgExitPool,590970413970572526188578,489645113809506533376,590480768856763019655202,0,20128819,5420050943,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16309751313,6703297,uosmo,4391740822472,1804984651,1.4992950350061718
4709114,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,/osmosis.gamm.v1beta1.MsgExitPool,590110081587303586197668,734268660077122289664,589375812927226463908004,0,30166406,8122898562,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16316454610,10046013,uosmo,4393569949396,2705086609,1.4992950350061718
4709134,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,/osmosis.gamm.v1beta1.MsgExitPool,588819179400231247912360,1100866350226123784192,587718313050005124128168,0,45184246,12167623530,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16326064060,15047252,uosmo,4396473870792,4052060385,1.4992950350061718
4709143,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,/osmosis.gamm.v1beta1.MsgExitPool,586868992434590466554332,1650388047526600114176,585218604387063866440156,0,67600369,18228427032,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16333400520,22512266,uosmo,4402607507346,6070428369,1.4992950350061718
4709171,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,/osmosis.gamm.v1beta1.MsgExitPool,583920483164537185748972,2474473899229546283008,581446009265307639465964,0,101121402,27280012478,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16348948732,33675436,uosmo,4410567085483,9084786161,1.4992950350061718
4709202,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,/osmosis.gamm.v1beta1.MsgExitPool,579476591576280322288271,3708481540924335718400,575768110035355986569871,0,150919586,40802734419,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16365127166,50259221,uosmo,4424427570436,13588121240,1.4992950350061718
4709218,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,/osmosis.gamm.v1beta1.MsgExitPool,572726037598234948309997,5560308687258754482176,567165728910976193827821,0,225121596,60928558659,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16406767153,74969965,uosmo,4440356331259,20290420577,1.4992950350061718
4709227,osmo16h0yyryfjmmhgj3ct6ndl7gcy4r3krf0gfrzky,690,/osmosis.gamm.v1beta1.MsgExitPool,1201362305931170081583298,6468015616456425472,1201355837915553625157826,0,14994961,1279327,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,2003358209670,4993065,uosmo,170876195497,425994,1.499211735480127
4709792,osmo1cw73elmtjvzg4gjdy9yv7hu6nnfl8m7z4ah5wl,1,/osmosis.gamm.v1beta1.MsgExitPool,392287201412017078765140327,3769356250489477120,392287197642660828275663207,0,76429,599997,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5346767587150,25457,uosmo,41323158675041,199846,1.4994239382520917
4710092,osmo1wfw3cdg5uvt0r5lawxr300lpthj48wx23f9y2q,584,/osmosis.gamm.v1beta1.MsgExitPool,167561998616522937372845,53830233213891232,167561944786289723481613,0,695903,785301,ibc/0954E1C28EB7AF5B72D24F3BC2B47BBB2FDF91BDDFD57B74B99E133AED40972A,1448482812297,231813,uosmo,1625800592040,261592,1.4994982073265835
4710126,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,567267862236801109045777,1737542419939812864,567266124694381169232913,0,70476,19004345,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16514794630,23470,uosmo,4453616754383,6328825,1.4992950350061718
4710132,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,567264628041651384907414,2624805534302288384,567262003236117082619030,0,106464,28708709,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16514818100,35455,uosmo,4453623083208,9560571,1.4992950350061718
4710141,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,567259768733840946462542,3918725778672514048,567255850008062273948494,0,158964,42855831,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16516714159,52939,uosmo,4453131982793,14271844,1.4992950350061718
4710147,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,567252498544961633999237,5877434621137157120,567246621110340496842117,0,238419,64276277,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16516767098,79399,uosmo,4453146254637,21405278,1.4992950350061718
4710151,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,567241583140812321618210,8834670454046647296,567232748470358274970914,0,358377,96616221,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16516846497,119347,uosmo,4453167659915,32175122,1.4992950350061718
