block,sender,pool_id,msg_type,original_shares,share_adjustment,new_total_shares
4707357,osmo1lj72jml6hw635cek9hep62u3hvfwng9e2e3r09,606,/osmosis.gamm.v1beta1.MsgJoinPool,378068630862218213332965938,726941844450580136452,378067903920373762752829486
4707362,osmo1rsks3gfv2rcf3atj8gs09yyhrftyn7j5vuu9v7,712,/osmosis.gamm.v1beta1.MsgJoinPool,592972360437692102527096,1300294321640097932,592971060143370462429164
4707362,osmo1jxpztalf3skjftyrlf3tpd3c94g2nqkanr7c3a,648,/osmosis.gamm.v1beta1.MsgJoinPool,293135947821834093824632409,-32907894,293135947821834093857540303
4707383,osmo1vtmpjl927zgwa8ht6mt75zsfyx75xdqpcu4atn,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588176261893662936912344,1108471806838315449,392588175153421856098596895
4707385,osmo1z98eg2ztdp2glyla62629nrlvczg8s7f8sgpm5,597,/osmosis.gamm.v1beta1.MsgJoinPool,450400082628793403900865,23963325511736215566,450376119303281667685299
4707387,osmo1mxpjsl4gppu3al5c0hm5ttm8hf9zpdhctafmxy,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968240264628575519347144,14368193444702,2968240264614207325902442
4707387,osmo1nl09n46sfnk0z8jk33mvu9u6lz5ymqj4hmj84x,712,/osmosis.gamm.v1beta1.MsgJoinPool,592971060143370462429164,398972496334302587685,592572087647036159841479
4707398,osmo18e9g3kfkzc9n9aet5c9eqwvt6ay5raar8m9e6q,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737750186275173351406118,9411642842219716485,1737740774632331131689633
4707399,osmo1pq7mnp9wk5mzeus9gz047ajalzcl2q7pvey5j4,712,/osmosis.gamm.v1beta1.MsgJoinPool,592579895352353553387245,1315012895915054625,592578580339457638332620
4707401,osmo1ey67pvamgg0hfv7q72zkfcf9nrw927f5akhp8y,712,/osmosis.gamm.v1beta1.MsgJoinPool,592578580339457638332620,2104051401570675162,592576476288056067657458
4707407,osmo1ltuj2v832rsxgfcfk696r9zm0rm2j26as7wn3x,573,/osmosis.gamm.v1beta1.MsgJoinPool,2127701207347226084565,46258337751072285,2127654949009475012280
4707409,osmo1akm0t858fwhk73982p9wz53hwvvvl4a5gc25lq,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968240164614207325902442,169960433729168124,2968239994653773596734318
4707416,osmo12asyaccxrau33q8l780cgzkyzydqngfvla7deg,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588175153464373791034630,36787085285657778475,392588138366379088133256155
4707417,osmo1g66a5sn0fgfw9wskzvlw39rsxgq9lqd6alweck,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968412095621669713934426,19902992665357507468,2968392192629004356426958
4707423,osmo1x63tv5csgv6mpsckq90p6h3tlufuxv35lceay7,690,/osmosis.gamm.v1beta1.MsgJoinPool,1250496926215485818024970,1760753669037205146,1250495165461816780819824
4707429,osmo12asyaccxrau33q8l780cgzkyzydqngfvla7deg,497,/osmosis.gamm.v1beta1.MsgJoinPool,1402473450025420220923655,1044363445649375926,1402472405661974571547729
4707433,osmo17urqyrawvju9u3t345d6v3e5ty3mk3hft3aa3v,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737740872268844054949946,13948855101888758902,1737726923413742166191044
4707434,osmo1u5m59uvat5wakk9w3d5fgrnxryfkn6krm4qsx5,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588138366379088133256155,91721169945400749853,392588046645209142732506302
4707434,osmo1ufvxkljcsy9u38vjj06j2x0fxy962xwxgmdfa0,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588046645209142732506302,508628376832635827,392588046136580765899870475
4707435,osmo1ey67pvamgg0hfv7q72zkfcf9nrw927f5akhp8y,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588046136580765899870475,36690035233085643795,392588009446545532814226680
4707436,osmo1evxw84lfmevdajh6xelu4rp46kux8fmjxkw4sr,712,/osmosis.gamm.v1beta1.MsgJoinPool,592576476288056067657458,1823364070741939447,592574652923985325718011
4707440,osmo1qurmjyezm4yy3tuhwgelpjcwrtd40ftcwpl5yd,9,/osmosis.gamm.v1beta1.MsgJoinPool,1352067064807730383624075800,28861542950547694296678,1352038203264779835929779122
4707445,osmo1zf9wvyqsk8qqu3leavjxna8mwlvkxd3x96fgcz,704,/osmosis.gamm.v1beta1.MsgJoinPool,446469675731736683265594,-12080773863916,446469675743817457129510
4707445,osmo1m6jkgwxj35a77k7n67nj5susc84m5n6mfy3ku0,712,/osmosis.gamm.v1beta1.MsgJoinPool,592574830901586804834491,8032703801933741548,592566798197784871092943
4707457,osmo1jr6mlu93x74ffpfvswkav33pxzqa8puujztrc4,648,/osmosis.gamm.v1beta1.MsgJoinPool,293135947821834093857540303,81350509959200,293135947821752743347581103
4707473,osmo1c7zy976xxc64ymlny8qsts299ylqwmq52ysy7j,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968493857135863927234989,24640611659081111,2968493832495252268153878
4707483,osmo15xd8465ylem38zkerjc8vn04h00n9zwurukg99,641,/osmosis.gamm.v1beta1.MsgJoinPool,22138119282161686426860859,263032099680151623326,22137856250062006275237533
4707484,osmo1mnufmmgrvc6tpfe6ayr679xnmhkewcsgdjqmgn,1,/osmosis.gamm.v1beta1.MsgJoinPool,392587841345746390798947580,2648006214368374622,392587838697740176430572958
4707486,osmo13hvvnhjlyj6wxqccgehpkhldtkj2fpc6j40895,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737726923413742166191044,84826481175920606797,1737642096932566245584247
4707497,osmo1alwjdff8sgejhv3u5rtylatury4cuvr7y49s7h,9,/osmosis.gamm.v1beta1.MsgJoinPool,1352038385254400332495058061,10340181339144478752578,1352028045073061188016305483
