block,sender,pool_id,msg_type,original_pool_shares_previous_height,recorded_share_out,adjustment_share_out,extra_amount_percent
4707357,osmo1lj72jml6hw635cek9hep62u3hvfwng9e2e3r09,606,/osmosis.gamm.v1beta1.MsgJoinPool,378068630862218213332965938,2183028319293324558852,1456083632464237953024.000000,1.922751644567325e-06
4707362,osmo1rsks3gfv2rcf3atj8gs09yyhrftyn7j5vuu9v7,712,/osmosis.gamm.v1beta1.MsgJoinPool,592972360437692102527096,3903519659099240076,2603570056565398528.000000,2.1922166911591715e-06
4707362,osmo1jxpztalf3skjftyrlf3tpd3c94g2nqkanr7c3a,648,/osmosis.gamm.v1beta1.MsgJoinPool,293135947821834093824632409,130016939323421211876746,86707145497188193271808.000000,0.00014754980498816436
4707383,osmo1vtmpjl927zgwa8ht6mt75zsfyx75xdqpcu4atn,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588176261893662936912344,3327724050960207545,2219335016646060288.000000,2.8232867751160037e-09
4707385,osmo1z98eg2ztdp2glyla62629nrlvczg8s7f8sgpm5,597,/osmosis.gamm.v1beta1.MsgJoinPool,450400082628793403900865,71939629717184710670,47975961997691797504.000000,5.31797839400017e-05
4707387,osmo1mxpjsl4gppu3al5c0hm5ttm8hf9zpdhctafmxy,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968240264628575519347144,43383443519119,28934076343599.777344,4.867991094613502e-12
4707387,osmo1nl09n46sfnk0z8jk33mvu9u6lz5ymqj4hmj84x,712,/osmosis.gamm.v1beta1.MsgJoinPool,592976263957351201767172,1197976972779704593189,799026839153624743936.000000,0.0006687194594000982
4707398,osmo18e9g3kfkzc9n9aet5c9eqwvt6ay5raar8m9e6q,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737750186275173351406118,28253828031285243781,18842358679501307904.000000,5.415628816323879e-06
4707399,osmo1pq7mnp9wk5mzeus9gz047ajalzcl2q7pvey5j4,712,/osmosis.gamm.v1beta1.MsgJoinPool,594182048635448299906127,3937082154080190497,2625955573890087424.000000,2.206563621462825e-06
4707401,osmo1ey67pvamgg0hfv7q72zkfcf9nrw927f5akhp8y,712,/osmosis.gamm.v1beta1.MsgJoinPool,594185985717602380096624,6299327254628655834,4201526122310360064.000000,3.5304339052878656e-06
4707407,osmo1ltuj2v832rsxgfcfk696r9zm0rm2j26as7wn3x,573,/osmosis.gamm.v1beta1.MsgJoinPool,2127701207347226084565,138868630033148525,92618212383441904.000000,2.1733011451786165e-05
4707409,osmo1akm0t858fwhk73982p9wz53hwvvvl4a5gc25lq,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968240164671958962866263,510221732969028828,340286371398428160.000000,5.72511873834521e-08
4707416,osmo12asyaccxrau33q8l780cgzkyzydqngfvla7deg,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588179589660231589557624,110434995160557996331,73651615359225397248.000000,9.369448864823332e-08
4707417,osmo1g66a5sn0fgfw9wskzvlw39rsxgq9lqd6alweck,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968412775861588049095199,59748936151678057356,39848848773372534784.000000,6.70354369957215e-06
4707423,osmo1x63tv5csgv6mpsckq90p6h3tlufuxv35lceay7,690,/osmosis.gamm.v1beta1.MsgJoinPool,1250496926215485818024970,5285788736891885722,3525711953688179712.000000,1.4074840198583288e-06
4707429,osmo12asyaccxrau33q8l780cgzkyzydqngfvla7deg,497,/osmosis.gamm.v1beta1.MsgJoinPool,1402473450025420220923655,3136229255099975222,2091868896220014080.000000,7.446510631629576e-07
4707433,osmo17urqyrawvju9u3t345d6v3e5ty3mk3hft3aa3v,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737778537739717559910212,41873703223957939318,27925395967978319872.000000,8.025935402023981e-06
4707434,osmo1u5m59uvat5wakk9w3d5fgrnxryfkn6krm4qsx5,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588290024655392147553955,275347210768138039069,183635330705147854848.000000,2.336078005250814e-07
4707434,osmo1ufvxkljcsy9u38vjj06j2x0fxy962xwxgmdfa0,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588290024655392147553955,1526983708055347187,1018380238637101184.000000,1.2955135861211155e-09
4707435,osmo1ey67pvamgg0hfv7q72zkfcf9nrw927f5akhp8y,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588566898849868340940211,110143514231372110867,73457220083980107776.000000,9.344710044830902e-08
4707436,osmo1evxw84lfmevdajh6xelu4rp46kux8fmjxkw4sr,712,/osmosis.gamm.v1beta1.MsgJoinPool,594192285044857008752458,5458902897133493751,3640979773611417088.000000,3.0594018439138366e-06
4707440,osmo1qurmjyezm4yy3tuhwgelpjcwrtd40ftcwpl5yd,9,/osmosis.gamm.v1beta1.MsgJoinPool,1352067064807730383624075800,86643030214166628540006,57781528697744295723008.000000,2.1342099347758332e-05
4707445,osmo1zf9wvyqsk8qqu3leavjxna8mwlvkxd3x96fgcz,704,/osmosis.gamm.v1beta1.MsgJoinPool,446469675731736683265594,68953078017582351892,45987869331670032384.000000,5.1413483195245064e-05
4707445,osmo1m6jkgwxj35a77k7n67nj5susc84m5n6mfy3ku0,712,/osmosis.gamm.v1beta1.MsgJoinPool,594197921925355621362689,24048552153497765356,16039906484048865280.000000,1.3476439605936164e-05
4707457,osmo1jr6mlu93x74ffpfvswkav33pxzqa8puujztrc4,648,/osmosis.gamm.v1beta1.MsgJoinPool,293265964761157515036509155,338425905531169011636256,225693239539463064911872.000000,0.0003830740339418765
4707473,osmo1c7zy976xxc64ymlny8qsts299ylqwmq52ysy7j,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968574189304599297960586,73969451553409107,49333053919459976.000000,8.299066898707504e-09
4707483,osmo15xd8465ylem38zkerjc8vn04h00n9zwurukg99,641,/osmosis.gamm.v1beta1.MsgJoinPool,22138119282161686426860859,789626044343570126494,526597451302852296704.000000,1.1879980687736909e-05
4707484,osmo1mnufmmgrvc6tpfe6ayr679xnmhkewcsgdjqmgn,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588508941564957697771978,7949407120057919326,5301640795014050816.000000,6.744380193952178e-09
4707486,osmo13hvvnhjlyj6wxqccgehpkhldtkj2fpc6j40895,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737820411442941517849530,254639751202570337869,169818175466524442624.000000,4.878770483523882e-05
4707497,osmo1alwjdff8sgejhv3u5rtylatury4cuvr7y49s7h,9,/osmosis.gamm.v1beta1.MsgJoinPool,1352153889827565046817894745,31038672547326874582850,20699437036079270592512.000000,7.645966271377248e-06
4707503,osmo15q08u2gz05hshx6hr6pxq8auzuysl5jvtk8j6q,641,/osmosis.gamm.v1beta1.MsgJoinPool,22138910188464816739039803,80044461820486818379,53381230124720439296.000000,1.2043475520985177e-06
4707505,osmo1lynjdpkq8gmw7lqr6jd7udh0xm68006g8p8hk0,674,/osmosis.gamm.v1beta1.MsgJoinPool,844946921237480862093827,2759041390259017611,1839981261630214144.000000,1.0877027850413683e-06
4707515,osmo1n6mqdxjlwvda8zgcw5t503gprnhn6gvs787drw,704,/osmosis.gamm.v1beta1.MsgJoinPool,446531730402455869258910,588624072888055673,392579529844176768.000000,4.390365874696476e-07
4707522,osmo197zhk2x8jrxdpqq0h675cfn932rnw4wp87gyut,604,/osmosis.gamm.v1beta1.MsgJoinPool,348562686096825978036,6123512581190601,4084403429359841.500000,5.849741403271525e-06
4707526,osmo103w2uwpdf9p708c83nkyd0ys6fgqt94tdvjtgn,712,/osmosis.gamm.v1beta1.MsgJoinPool,594229776164636831452472,69943726610921337991,46651075990946250752.000000,3.9184200804165216e-05
