block,code,msg_type,sender,pool_id,share_in,denom_1,amount_1,denom_2,amount_2,denom_3,amount_3,denom_4,amount_4
4707380,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1z98eg2ztdp2glyla62629nrlvczg8s7f8sgpm5,597,1255048599715962223353,ibc/FE2CD1E6828EC0FAB8AF39BAC45BC25B965BA67CCBC50C13A14BD610B0D1E2C4,13249391595,uosmo,261336001,,,,
4707398,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1z98eg2ztdp2glyla62629nrlvczg8s7f8sgpm5,597,71939629717184710670,ibc/FE2CD1E6828EC0FAB8AF39BAC45BC25B965BA67CCBC50C13A14BD610B0D1E2C4,759419417,uosmo,14979075,,,,
4708818,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1d8etkcl43lp9nhdsflmm9y3krl7dutwj2493rh,497,1513028634420781432,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,1445824,uosmo,4575534,,,,
4708854,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1d8etkcl43lp9nhdsflmm9y3krl7dutwj2493rh,497,2268653794142585587,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,2167126,uosmo,6863020,,,,
4709007,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,145033531240426309910,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,3987524,uosmo,1069998602,,,,
4709033,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,217765235424501302856,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,5978428,uosmo,1608537941,,,,
4709054,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,326532242242830903761,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,8961451,uosmo,2411861925,,,,
4709079,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,244806710397768944153,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,6716703,uosmo,1807720486,,,,
4709083,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,244806710397768944153,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,6716751,uosmo,1807707699,,,,
4709100,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,734122488049625093575,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,20128819,uosmo,5420050943,,,,
4709114,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,1100885356414263929179,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,30166406,uosmo,8122898562,,,,
4709134,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,1650523453099392841995,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,45184246,uosmo,12167623530,,,,
4709143,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,2474418605490161312716,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,67600369,uosmo,18228427032,,,,
4709171,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,3709966431367221242062,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,101121402,uosmo,27280012478,,,,
4709202,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,5560107961719893680510,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,150919586,uosmo,40802734419,,,,
4709218,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,8336543207908735411598,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,225121596,uosmo,60928558659,,,,
4709227,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo16h0yyryfjmmhgj3ct6ndl7gcy4r3krf0gfrzky,690,9696924917460201010,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,14994961,uosmo,1279327,,,,
4709792,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1cw73elmtjvzg4gjdy9yv7hu6nnfl8m7z4ah5wl,1,5651862993784070000,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,76429,uosmo,599997,,,,
4709943,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo19vjw6c4svl3yczkgmk76ar3tulx8zm085up940,712,1916962535069919201,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,51738,uosmo,14017444,,,,
4710092,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1wfw3cdg5uvt0r5lawxr300lpthj48wx23f9y2q,584,80718338204201806,ibc/0954E1C28EB7AF5B72D24F3BC2B47BBB2FDF91BDDFD57B74B99E133AED40972A,695903,uosmo,785301,,,,
4710112,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,1773725092272847834,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,47983,uosmo,12939972,,,,
4710126,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,2605088723328370342,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,70476,uosmo,19004345,,,,
4710132,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,3935357905436142971,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,106464,uosmo,28708709,,,,
4710141,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,5875326103514394184,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,158964,uosmo,42855831,,,,
4710147,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,8812008546044319689,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,238419,uosmo,64276277,,,,
4710151,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,13245777547667859555,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,358377,uosmo,96616221,,,,
4710155,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,19841092817035199556,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,536814,uosmo,144721601,,,,
4710159,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,29761915476372666454,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,805215,uosmo,217080957,,,,
