block,sender,pool_id,msg_type,original_shares,new_total_shares,denom_1,pool_original_amount_1,pool_adjustment_amount_1,denom_2,pool_original_amount_2,pool_adjustment_amount_2
4707360,osmo1nx3chh7ju3l28w8nsu2wpf3hhqfkg7lkqnhzn9,643,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,13526952074470788678934,13526953620259315633892,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,16117850881,16117850881,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,4662799041915,4662800109196
4707362,osmo1d6nu6ysmzq0826k5zpd4jr0qutt6yz2yk94j7e,674,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,844946682068208239202634,844946921237480862093827,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,2643297996344960281720077,2643297996344960281720077,uosmo,2376288062425,2376289408286
4707364,osmo1m8fseyyr53jukpmpp4d9h9nva5mhqtg7dnnn67,577,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,1912168243703996716269,1912168247572349027781,ibc/B547DC9B897E7C3AA5B824696110B8E3D2C31E3ED3F02FF363DCBAD82457E07E,5496634644118,5496634666391,uosmo,388213340522,388213340522
4707369,osmo1lj72jml6hw635cek9hep62u3hvfwng9e2e3r09,605,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,834423855618230660718216904,834426002195221353581552522,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,4609203787901814,4609203787901814,uosmo,188008499357,188009467640
4707371,osmo12slw9q65ce2q9dda70r8wejqlv882d38c3y0uf,722,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,1737750161027150459312909,1737750186275173351406118,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,184399250967655524579717,184399250967655524579717,uosmo,343635809803,343635819803
4707378,osmo1lj72jml6hw635cek9hep62u3hvfwng9e2e3r09,613,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,22644603442861963168020,22644830566207588281310,ibc/E7B35499CFBEB0FF5778127ABA4FB2C4B79A6B8D3D831D4379C4048C238796BD,690266429691,690280290242,uosmo,22842072934,22842072934
4707383,osmo1wnc5emxmftn2kzrjpftu8eyraffc5cwftgp65n,678,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,2968240153883590130108275,2968240264628575519347144,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,14941922663127,14941922663127,uosmo,13395629906062,13395630906062
4707383,osmo1me3hg2l74zn5ag9y879u7re4cp4dxea9h5d45s,719,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,15567056936291232979275557,15567057188163836574026542,ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,695183797894,695183813977,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,399267398632,399267398632
4707388,osmo1me3hg2l74zn5ag9y879u7re4cp4dxea9h5d45s,719,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,15567057188163836574026542,15567290627126942602310778,ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,695183813977,695183813977,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,399267398632,399287398632
4707393,osmo1nl09n46sfnk0z8jk33mvu9u6lz5ymqj4hmj84x,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,592572087647036159841479,592579895352353553387245,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16317040004,16317040004,uosmo,4381909357915,4382024790134
